ID Nobs Nfilt obs_first theta_E	mb		dt_input 
SN3 4 3 60634.282143421755 0.3971740472656459 22.383729240467297 48.98310287938609
SN6 9 4 60359.32462449674 0.42426266730267365 22.829283609153123 14.813196013643545
SN9 11 4 61100.356014525416 0.8006182466355388 22.712378808951748 8.444580751265303
SN13 8 3 60996.32295850546 0.8840625080813833 23.454582702631903 15.933350925871228
SN16 8 4 60693.35681999232 0.7943455731091315 21.97354636060831 49.61350692579768
SN18 9 3 60658.264856143025 0.6725079177734237 23.139979245957683 38.25801235757095
SN22 6 3 60955.357612603475 1.1718595776465446 23.28536936748327 30.16476901077846
SN23 13 5 61140.336736187695 0.1742742638601835 23.066533553171247 10.78413454872555
SN24 4 3 60719.328497577044 0.38244411120467975 22.678991832808183 9.770381820232693
SN26 4 3 61267.37750744638 0.4399261793686972 21.970377091264425 0.6139952283484644
SN29 8 3 60299.23730344669 0.7805861221629892 23.08947513329763 31.345091970702843
SN31 9 3 60658.312557416604 0.26449259948759163 23.01824761920318 2.472391349421392
SN32 11 4 61273.08196086972 0.5255214327679129 22.89119303205571 20.119566521421227
SN33 10 4 60325.36656819078 1.2950701827967508 23.308636748528777 60.303627665550195
SN34 4 3 61146.36229479057 0.9453488680374327 22.16759890394269 6.182079250504589
SN38 4 2 60414.39692187865 0.8273639206156943 21.767291609411362 11.441636380296988
SN44 11 5 61135.289352195774 0.953891035798987 22.162147769476846 143.2220788508244
SN45 13 4 60861.260335971376 0.7779579736104946 23.501527559441485 40.95561011376066
SN46 6 3 60649.32770202079 0.5540633076330757 22.170578415901584 95.13587496759307
SN48 1 1 60449.43555811762 1.0667031185238247 23.39142699967757 92.93858629069717
SN50 4 2 60901.09830136177 0.46453833032933883 23.48725000678489 26.50327487175184
SN51 9 4 60899.224768893575 0.34476315716420813 23.7637276529505 43.133491678722585
SN52 6 4 60996.32159109013 0.12643807531927329 22.083939209401823 1.8949821954914838
SN56 4 2 60366.35774986936 0.5277898517981593 21.877444751478677 27.151508306757528
SN57 0 0 60484.41099336763 0.29982051858406294 21.234482869116604 0.9046351734493826
SN58 13 4 60572.17859289204 0.44481526654371506 22.735266159880364 12.510865397366912
